,word,count
0,aa,1358
1,ab,95665
2,aba,2627
3,abb,1386
4,abe,2888
5,abi,9110
6,ability,3259
7,abin,1014
8,able,21601
9,ably,4302
10,abo,39361
11,abor,3657
12,abort,1033
13,abou,32965
14,abr,1711
15,abs,3064
16,absolut,1081
17,absolute,1056
18,abu,1996
19,abuse,1300
20,aby,1186
21,ac,192902
22,aca,3458
23,acc,22524
24,acce,5047
25,accept,2465
26,access,2060
27,acco,11201
28,accord,5920
29,according,5567
30,account,3547
31,accuse,1900
32,accused,1546
33,ace,30699
34,aced,3216
35,aces,3033
36,ach,21506
37,ache,5149
38,ached,2131
39,achieve,1064
40,achin,2907
41,aching,1325
42,aci,9337
43,acing,1923
44,acis,2037
45,ack,44542
46,acknowledge,1131
47,acl,1042
48,aco,1154
49,acr,5624
50,acre,1025
51,across,3506
52,act,43581
53,acted,1724
54,actic,3484
55,acting,1322
56,actio,6373
57,action,6339
58,actions,2363
59,active,1596
60,activist,1457
61,acto,3404
62,actor,3185
63,actors,1242
64,acts,2465
65,actual,3976
66,actually,3101
67,acu,1376
68,ad,177585
69,ada,3884
70,add,13443
71,added,4486
72,adding,1435
73,addition,2151
74,additional,1026
75,addre,2332
76,address,2331
77,ade,33917
78,aded,1982
79,adl,2747
80,adly,1196
81,adm,9136
82,admin,6754
83,administration,5746
84,admit,1411
85,ado,5804
86,ads,3450
87,adu,2575
88,adv,9307
89,advance,1346
90,advantage,1001
91,advert,1044
92,advise,2399
93,adviser,1835
94,ady,7272
95,ae,10041
96,af,36771
97,aff,9006
98,affect,1557
99,aft,20809
100,ag,95166
101,aga,19090
102,agains,11021
103,age,44871
104,aged,3661
105,agement,1354
106,agen,7189
107,agencies,1296
108,agency,2006
109,agenda,1332
110,agent,2044
111,agents,1367
112,ager,2855
113,ages,4902
114,aggress,1241
115,aging,2300
116,ago,7214
117,agon,1496
118,agree,4985
119,agreed,1335
120,agreement,2091
121,ah,11224
122,aha,1572
123,ahead,1233
124,aho,1034
125,ai,213526
126,aid,72928
127,aide,1774
128,aig,12718
129,aila,1952
130,ailed,3249
131,aili,1229
132,ailing,1162
133,ails,5798
134,ailure,1101
135,aim,7897
136,aime,2490
137,aimed,2381
138,aims,2150
139,aine,8425
140,aint,5310
141,air,15930
142,aire,1765
143,airman,1781
144,airs,2342
145,ais,6139
146,ait,5473
147,aj,7318
148,ak,64492
149,aka,1021
150,akers,1934
151,akin,10793
152,ako,1322
153,al,466518
154,ala,6157
155,alan,1617
156,alar,1143
157,ald,11250
158,ale,15756
159,aled,2316
160,alen,1407
161,ales,3857
162,alf,3446
163,ali,35847
164,alia,2704
165,alien,1202
166,alking,2461
167,alla,1366
168,alle,16990
169,allege,1394
170,alleged,1293
171,allen,3080
172,aller,1338
173,allie,2132
174,allies,1835
175,allin,2586
176,allo,7562
177,allot,1083
178,allow,5475
179,allowed,1857
180,alls,3513
181,ally,38481
182,alm,4966
183,almo,3013
184,almost,2874
185,alon,5075
186,alone,1432
187,along,3502
188,already,4455
189,als,41520
190,alse,1541
191,also,19293
192,alt,15632
193,alte,2090
194,alter,1828
195,altho,1115
196,although,1112
197,alway,3681
198,always,3677
199,aly,4577
200,ama,21355
201,amac,1528
202,amaca,1499
203,amb,4195
204,ame,37437
