,word,count
0,aa,786
1,ab,57226
2,aba,1437
3,abb,842
4,abe,1557
5,abi,5081
6,ability,1951
7,abin,731
8,able,12714
9,ably,2416
10,abo,25523
11,abor,2563
12,abort,718
13,abou,21535
14,abr,1072
15,abs,1544
16,absolut,469
17,absolute,457
18,abu,1213
19,abuse,787
20,aby,602
21,ac,117373
22,aca,2339
23,acc,14151
24,acce,2902
25,accept,1352
26,access,1225
27,acco,7735
28,accord,4297
29,according,4062
30,account,2290
31,accuse,1349
32,accused,1161
33,ace,18951
34,aced,2159
35,aces,2093
36,ach,13879
37,ache,3537
38,ached,1462
39,achieve,606
40,achin,1463
41,aching,797
42,aci,4826
43,acing,1305
44,acis,870
45,ack,28545
46,acknowledge,832
47,acl,571
48,aco,711
49,acr,3587
50,acre,505
51,across,2374
52,act,24536
53,acted,1123
54,actic,2025
55,acting,858
56,actio,3727
57,action,3699
58,actions,1370
59,active,875
60,activist,911
61,acto,2217
62,actor,2121
63,actors,784
64,acts,1337
65,actual,1790
66,actually,1346
67,acu,898
68,ad,117973
69,ada,1952
70,add,9359
71,added,3629
72,adding,1145
73,addition,1345
74,additional,681
75,addre,1555
76,address,1555
77,ade,22722
78,aded,1289
79,adl,1781
80,adly,722
81,adm,6337
82,admin,4965
83,administration,4499
84,admit,697
85,ado,3207
86,ads,2093
87,adu,1826
88,adv,6385
89,advance,831
90,advantage,636
91,advert,730
92,advise,1987
93,adviser,1589
94,ady,4148
95,ae,5575
96,af,25126
97,aff,5838
98,affect,1005
99,aft,14911
100,ag,58772
101,aga,10745
102,agains,6329
103,age,28679
104,aged,2191
105,agement,892
106,agen,4659
107,agencies,852
108,agency,1455
109,agenda,801
110,agent,1189
111,agents,736
112,ager,2214
113,ages,3116
114,aggress,691
115,aging,1488
116,ago,4592
117,agon,811
118,agree,3179
119,agreed,973
120,agreement,1396
121,ah,7257
122,aha,1190
123,ahead,791
124,aho,722
125,ai,144100
126,aid,62444
127,aide,1251
128,aig,7471
129,aila,1156
130,ailed,2116
131,aili,758
132,ailing,739
133,ails,2113
134,ailure,626
135,aim,4734
136,aime,1620
137,aimed,1543
138,aims,1236
139,aine,5109
140,aint,3530
141,air,10197
142,aire,864
143,airman,1288
144,airs,1561
145,ais,3989
146,ait,3026
147,aj,4418
148,ak,38479
149,aka,581
150,akers,1562
151,akin,6557
152,ako,426
153,al,283015
154,ala,3824
155,alan,974
156,alar,801
157,ald,6379
158,ale,9899
159,aled,1390
160,alen,989
161,ales,2299
162,alf,2191
163,ali,19936
164,alia,1791
165,alien,825
166,alking,1522
167,alla,918
168,alle,11695
169,allege,723
170,alleged,664
171,allen,2224
172,aller,946
173,allie,1200
174,allies,1048
175,allin,1703
176,allo,4373
177,allot,433
178,allow,3302
179,allowed,1177
180,alls,2405
181,ally,21837
182,alm,3127
183,almo,1890
184,almost,1800
185,alon,3237
186,alone,852
187,along,2293
188,already,2446
189,als,26876
190,alse,734
191,also,12765
192,alt,9467
193,alte,1137
194,alter,990
195,altho,698
196,although,698
197,alway,2253
198,always,2251
199,aly,2858
200,ama,11999
201,amac,1041
202,amaca,1024
203,amb,3007
204,ame,24106
205,amen,2529
206,ament,2077
207,amer,1211
208,ames,3515
209,ami,13365
210,amin,2102
211,amm,2058
212,amma,684
213,amo,5846
214,amon,3423
215,among,3197
216,amount,1047
217,amp,13499
218,ample,1964
219,amps,617
220,ana,8909
