,word,count
0,aa,572
1,ab,38439
2,aba,1190
3,abb,544
4,abe,1331
5,abi,4029
6,ability,1308
7,abin,283
8,able,8887
9,ably,1886
10,abo,13838
11,abor,1094
12,abort,315
13,abou,11430
14,abr,639
15,abs,1520
16,absolut,612
17,absolute,599
18,abu,783
19,abuse,513
20,aby,584
21,ac,75529
22,aca,1119
23,acc,8373
24,acce,2145
25,accept,1113
26,access,835
27,acco,3466
28,accord,1623
29,according,1505
30,account,1257
31,accuse,551
32,accused,385
33,ace,11748
34,aced,1057
35,aces,940
36,ach,7627
37,ache,1612
38,ached,669
39,achieve,458
40,achin,1444
41,aching,528
42,aci,4511
43,acing,618
44,acis,1167
45,ack,15997
46,acknowledge,299
47,acl,471
48,aco,443
49,acr,2037
50,acre,520
51,across,1132
52,act,19045
53,acted,601
54,actic,1459
55,acting,464
56,actio,2646
57,action,2640
58,actions,993
59,active,721
60,activist,546
61,acto,1187
62,actor,1064
63,actors,458
64,acts,1128
65,actual,2186
66,actually,1755
67,acu,478
68,ad,59612
69,ada,1932
70,add,4084
71,added,857
72,adding,290
73,addition,806
74,additional,345
75,addre,777
76,address,776
77,ade,11195
78,aded,693
79,adl,966
80,adly,474
81,adm,2799
82,admin,1789
83,administration,1247
84,admit,714
85,ado,2597
86,ads,1357
87,adu,749
88,adv,2922
89,advance,515
90,advantage,365
91,advert,314
92,advise,412
93,adviser,246
94,ady,3124
95,ae,4466
96,af,11645
97,aff,3168
98,affect,552
99,aft,5898
100,ag,36394
101,aga,8345
102,agains,4692
103,age,16192
104,aged,1470
105,agement,462
106,agen,2530
107,agencies,444
108,agency,551
109,agenda,531
110,agent,855
111,agents,631
112,ager,641
113,ages,1786
114,aggress,550
115,aging,812
116,ago,2622
117,agon,685
118,agree,1806
119,agreed,362
120,agreement,695
121,ah,3967
122,aha,382
123,ahead,442
124,aho,312
125,ai,69426
126,aid,10484
127,aide,523
128,aig,5247
129,aila,796
130,ailed,1133
131,aili,471
132,ailing,423
133,ails,3685
134,ailure,475
135,aim,3163
136,aime,870
137,aimed,838
138,aims,914
139,aine,3316
140,aint,1780
141,air,5733
142,aire,901
143,airman,493
144,airs,781
145,ais,2150
146,ait,2447
147,aj,2900
148,ak,26013
149,aka,440
150,akers,372
151,akin,4236
152,ako,896
153,al,183503
154,ala,2333
155,alan,643
156,alar,342
157,ald,4871
158,ale,5857
159,aled,926
160,alen,418
161,ales,1558
162,alf,1255
163,ali,15911
164,alia,913
165,alien,377
166,alking,939
167,alla,448
168,alle,5295
169,allege,671
170,alleged,629
171,allen,856
172,aller,392
173,allie,932
174,allies,787
175,allin,883
176,allo,3189
177,allot,650
178,allow,2173
179,allowed,680
180,alls,1108
181,ally,16644
182,alm,1839
183,almo,1123
184,almost,1074
185,alon,1838
186,alone,580
187,along,1209
188,already,2009
189,als,14644
190,alse,807
191,also,6528
192,alt,6165
193,alte,953
194,alter,838
195,altho,417
196,although,414
197,alway,1428
198,always,1426
199,aly,1719
200,ama,9356
201,amac,487
202,amaca,475
203,amb,1188
204,ame,13331
205,amen,1358
206,ament,1127
207,amer,709
208,ames,1681
209,ami,5890
210,amin,1512
211,amm,1361
212,amma,395
213,amo,3278
214,amon,1332
215,among,1245
216,amount,927
217,amp,8910
218,ample,1584
219,amps,461
220,ana,5188
221,anad,697
222,anal,1170
223,analyst,260
224,anc,13584
225,ance,9584
226,ancel,308
227,anche,247
228,anda,3200
229,ande,2694
230,ander,1571
231,anders,804
232,andi,4777
233,ands,3025
234,ang,10390
235,ange,7680
236,anger,1652
237,angi,562
238,anh,135
239,ani,10135
240,anic,930
241,anies,746
242,anima,416
243,anis,1413
244,ann,6514
245,anna,493
246,anne,1706
247,anni,720
248,anning,444
249,anno,2625
250,announce,1053
251,announced,622
252,annual,255
253,ano,3813
254,anon,325
255,another,2475
256,ans,16477
257,ansa,381
258,answer,901
259,ant,21844
260,ante,1903
261,anti,3450
262,antic,469
263,ants,3370
264,anu,1266
265,anyone,1143
266,anythin,1292
267,anything,1291
268,ao,892
269,ap,26485
270,apa,1749
271,apar,397
272,apart,344
273,ape,3053
274,aper,1296
275,api,1860
276,app,11109
277,apparent,541
278,appeal,313
279,appear,2259
280,appeared,574
281,appears,716
282,appoint,650
283,appr,1970
284,approach,527
285,approve,302
286,apse,707
287,apt,1362
288,aq,2270
289,aqi,560
290,ar,197962
291,ara,6202
292,aran,915
293,arat,1102
294,arc,5201
295,arch,4219
296,arche,769
297,archer,531
298,archers,393
299,archi,575
300,ard,11907
301,area,1583
302,areas,658
303,arel,354
304,arent,1590
305,ares,719
306,argue,494
307,argued,189
308,argument,396
309,ari,9853
